city,state,median_age,male_population,female_population,total_population,state_code
Salem,Oregon,35.4,80839.0,83704.0,164543,OR
Fayetteville,Arkansas,27.1,41959.0,40873.0,82832,AR
Lakeland,Florida,38.1,47840.0,56570.0,104410,FL
Toledo,Ohio,36.1,135455.0,144323.0,279778,OH
Westminster,Colorado,37.8,54866.0,58251.0,113117,CO
Conroe,Texas,31.5,34907.0,33685.0,68592,TX
Enterprise,Nevada,34.1,69146.0,66328.0,135474,NV
Savannah,Georgia,30.3,69389.0,76295.0,145684,GA
German,Maryland,34.9,41115.0,43007.0,84122,MD
Schaumburg,Illinois,36.9,35971.0,39840.0,75811,IL
Highlands Ranch,Colorado,39.6,49186.0,53281.0,102467,CO
Chula Vista,California,34.6,131485.0,134269.0,265754,CA
Yuba City,California,34.5,33654.0,33290.0,66944,CA
Yorba Linda,California,45.5,31960.0,36006.0,67966,CA
San Clemente,California,45.2,34076.0,31456.0,65532,CA
Ames,Iowa,23.0,33814.0,31238.0,65052,IA
Billings,Montana,36.3,52705.0,57565.0,110270,MT
Round Rock,Texas,34.9,56646.0,59193.0,115839,TX
Canton,Ohio,33.4,34476.0,37419.0,71895,OH
Canton,Ohio,33.4,34476.0,37419.0,71895,OH
Orange,California,35.0,67337.0,73658.0,140995,CA
Redwood City,California,37.1,42676.0,42624.0,85300,CA
Silver Spring,Maryland,33.8,40601.0,41862.0,82463,MD
Chico,California,29.9,46168.0,44168.0,90336,CA
Santa Fe,New Mexico,44.1,40601.0,43511.0,84112,NM
Waukesha,Wisconsin,35.8,36263.0,35713.0,71976,WI
Citrus Heights,California,37.8,41982.0,45071.0,87053,CA
Long Beach,California,34.6,238159.0,236013.0,474172,CA
Bridgeport,Connecticut,34.1,71509.0,76110.0,147619,CT
Richmond,California,35.3,52615.0,57100.0,109715,CA
Jersey City,New Jersey,34.3,131765.0,132512.0,264277,NJ
Kirkland,Washington,40.8,42159.0,45108.0,87267,WA
Salinas,California,30.4,77765.0,79621.0,157386,CA
Schenectady,New York,36.7,32398.0,32901.0,65299,NY
Green Bay,Wisconsin,32.9,52517.0,52704.0,105221,WI
Victorville,California,30.6,60989.0,61247.0,122236,CA
Sandy Springs,Georgia,35.4,48570.0,56777.0,105347,GA
Evansville,Indiana,38.0,57198.0,60481.0,117679,IN
Pittsburgh,Pennsylvania,32.9,149690.0,154695.0,304385,PA
Murfreesboro,Tennessee,30.2,60704.0,65417.0,126121,TN
The Woodlands,Texas,38.8,56083.0,63061.0,119144,TX
New Braunfels,Texas,37.0,33071.0,36852.0,69923,TX
Pearland,Texas,33.9,52336.0,59329.0,111665,TX
Apple Valley,California,34.3,32873.0,39312.0,72185,CA
Lauderhill,Florida,35.7,32813.0,38761.0,71574,FL
Perris,California,26.9,41623.0,33336.0,74959,CA
Racine,Wisconsin,33.7,39314.0,38423.0,77737,WI
Salem,Oregon,35.4,80839.0,83704.0,164543,OR
Bolingbrook,Illinois,33.7,36295.0,35801.0,72096,IL
Santa Maria,California,30.1,53320.0,51762.0,105082,CA
Costa Mesa,California,34.8,59097.0,54089.0,113186,CA
Inglewood,California,34.9,52995.0,58661.0,111656,CA
Flint,Michigan,35.3,48984.0,49313.0,98297,MI
New Haven,Connecticut,29.9,63765.0,66545.0,130310,CT
Santa Barbara,California,37.8,45068.0,46784.0,91852,CA
Chula Vista,California,34.6,131485.0,134269.0,265754,CA
Santa Ana,California,30.8,167503.0,167920.0,335423,CA
Detroit,Michigan,34.8,319265.0,357859.0,677124,MI
Los Angeles,California,35.0,1958998.0,2012898.0,3971896,CA
Pleasanton,California,41.3,36662.0,42857.0,79519,CA
Centennial,Colorado,42.4,53222.0,56504.0,109726,CO
Flower Mound,Texas,40.2,35200.0,35824.0,71024,TX
East Orange,New Jersey,35.5,29995.0,34967.0,64962,NJ
Casas Adobes,Arizona,44.8,30890.0,34375.0,65265,AZ
San Antonio,Texas,33.1,721405.0,748419.0,1469824,TX
Odessa,Texas,31.2,61119.0,57861.0,118980,TX
Youngs,Ohio,37.5,30758.0,33851.0,64609,OH
Coral Springs,Florida,37.2,63316.0,66186.0,129502,FL
Oxnard,California,31.0,101906.0,105346.0,207252,CA
Hayward,California,34.3,78152.0,80148.0,158300,CA
Mesa,Arizona,36.9,234998.0,236835.0,471833,AZ
Town 'n' Country,Florida,38.1,39410.0,39586.0,78996,FL
Fort Collins,Colorado,29.6,80893.0,80288.0,161181,CO
El Cajon,California,32.7,54450.0,49238.0,103688,CA
Midland,Texas,32.1,66595.0,66355.0,132950,TX
Sandy,Utah,34.6,46923.0,46689.0,93612,UT
Troy,Michigan,43.3,42371.0,40905.0,83276,MI
Winston-Salem,North Carolina,34.7,112520.0,128712.0,241232,NC
McKinney,Texas,35.6,77339.0,85548.0,162887,TX
Lansing,Michigan,31.4,54333.0,59777.0,114110,MI
Allen,Texas,37.2,51324.0,46814.0,98138,TX
Spokane Valley,Washington,36.0,49933.0,44975.0,94908,WA
Gary,Indiana,38.1,35876.0,41478.0,77354,IN
Walnut Creek,California,47.6,31994.0,36912.0,68906,CA
Lake Charles,Louisiana,31.8,35678.0,40388.0,76066,LA
Lake Charles,Louisiana,31.8,35678.0,40388.0,76066,LA
Westland,Michigan,39.9,37742.0,44253.0,81995,MI
Carlsbad,California,42.1,55119.0,58347.0,113466,CA
Orlando,Florida,33.1,130940.0,139977.0,270917,FL
Glendale,Arizona,34.4,116795.0,123319.0,240114,AZ
Glendale,Arizona,34.4,116795.0,123319.0,240114,AZ
San Juan,Puerto Rico,41.4,155408.0,186829.0,342237,PR
Mayagüez,Puerto Rico,38.1,30799.0,35782.0,66581,PR
Denver,Colorado,34.1,341137.0,341408.0,682545,CO
Waldorf,Maryland,33.6,35640.0,39872.0,75512,MD
Waldorf,Maryland,33.6,35640.0,39872.0,75512,MD
Thousand Oaks,California,44.8,65113.0,64216.0,129329,CA
Lawton,Oklahoma,31.1,51099.0,45560.0,96659,OK
San Diego,California,34.5,693826.0,701081.0,1394907,CA
Kalamazoo,Michigan,26.4,37175.0,38865.0,76040,MI
Rochester Hills,Michigan,41.2,36356.0,37076.0,73432,MI
Madison,Wisconsin,30.7,122596.0,126360.0,248956,WI
Corona,California,37.1,79749.0,84493.0,164242,CA
Indio,California,35.9,43803.0,43723.0,87526,CA
Indio,California,35.9,43803.0,43723.0,87526,CA
Lewisville,Texas,31.6,52776.0,52032.0,104808,TX
Charlotte,North Carolina,34.3,396646.0,430475.0,827121,NC
Buena Park,California,35.7,41593.0,41671.0,83264,CA
Skokie,Illinois,43.4,31382.0,33437.0,64819,IL
West Jordan,Utah,30.8,57898.0,54044.0,111942,UT
Rancho Cucamonga,California,34.5,88127.0,87105.0,175232,CA
Sunrise Manor,Nevada,32.5,93505.0,99103.0,192608,NV
Grand Prairie,Texas,33.1,90811.0,96944.0,187755,TX
Everett,Washington,37.0,56212.0,51800.0,108012,WA
Newark,New Jersey,34.6,138040.0,143873.0,281913,NJ
Waukesha,Wisconsin,35.8,36263.0,35713.0,71976,WI
Chino Hills,California,41.9,39639.0,38674.0,78313,CA
Chino Hills,California,41.9,39639.0,38674.0,78313,CA
Peoria,Illinois,33.1,56229.0,62432.0,118661,IL
Springfield,Massachusetts,31.8,74744.0,79592.0,154336,MA
North Las Vegas,Nevada,32.2,116350.0,118443.0,234793,NV
Tuscaloosa,Alabama,29.1,47293.0,51045.0,98338,AL
Avondale,Arizona,29.1,38712.0,41971.0,80683,AZ
San Mateo,California,39.3,50966.0,52558.0,103524,CA
Longmont,Colorado,36.8,43941.0,48280.0,92221,CO
Fall River,Massachusetts,39.3,43314.0,45456.0,88770,MA
O'Fallon,Missouri,36.0,41762.0,43270.0,85032,MO
Miami,Florida,40.4,215840.0,225149.0,440989,FL
Miami,Florida,40.4,215840.0,225149.0,440989,FL
Green Bay,Wisconsin,32.9,52517.0,52704.0,105221,WI
Carmichael,California,41.0,29281.0,33934.0,63215,CA
Evansville,Indiana,38.0,57198.0,60481.0,117679,IN
Evansville,Indiana,38.0,57198.0,60481.0,117679,IN
Murfreesboro,Tennessee,30.2,60704.0,65417.0,126121,TN
Apple Valley,California,34.3,32873.0,39312.0,72185,CA
Milpitas,California,36.8,40098.0,37519.0,77617,CA
Perris,California,26.9,41623.0,33336.0,74959,CA
South Gate,California,32.5,47758.0,48641.0,96399,CA
Salem,Oregon,35.4,80839.0,83704.0,164543,OR
Santa Monica,California,40.6,46732.0,46487.0,93219,CA
Boulder,Colorado,29.0,56342.0,51000.0,107342,CO
Richmond,Virginia,33.6,104793.0,115496.0,220289,VA
Eau Claire,Wisconsin,32.0,32327.0,35106.0,67433,WI
Marysville,Washington,33.2,33436.0,33337.0,66773,WA
Paterson,New Jersey,34.0,70640.0,77117.0,147757,NJ
Cedar Rapids,Iowa,36.2,63109.0,67296.0,130405,IA
Schaumburg,Illinois,36.9,35971.0,39840.0,75811,IL
Schaumburg,Illinois,36.9,35971.0,39840.0,75811,IL
Brooklyn Park,Minnesota,35.1,37845.0,41305.0,79150,MN
Brooklyn Park,Minnesota,35.1,37845.0,41305.0,79150,MN
Palo Alto,California,40.2,31451.0,35397.0,66848,CA
Fort Wayne,Indiana,34.7,124815.0,133329.0,258144,IN
Suffolk,Virginia,38.2,43048.0,45113.0,88161,VA
Albany,New York,32.8,47627.0,50825.0,98452,NY
Boynton Beach,Florida,45.8,33701.0,40271.0,73972,FL
Dallas,Texas,32.6,639019.0,661063.0,1300082,TX
South San Francisco,California,39.4,34177.0,33094.0,67271,CA
San Antonio,Texas,33.1,721405.0,748419.0,1469824,TX
Chandler,Arizona,35.6,128885.0,131948.0,260833,AZ
Laguna Niguel,California,45.8,30193.0,35619.0,65812,CA
Pine Hills,Florida,29.2,35344.0,40737.0,76081,FL
Bloomington,Indiana,23.5,40588.0,43227.0,83815,IN
Bloomington,Indiana,23.5,40588.0,43227.0,83815,IN
Alameda,California,41.4,37747.0,40867.0,78614,CA
Antioch,California,34.0,54733.0,55809.0,110542,CA
Clovis,California,37.8,52392.0,51780.0,104172,CA
New Britain,Connecticut,33.4,37350.0,35459.0,72809,CT
Tulsa,Oklahoma,35.0,197437.0,205654.0,403091,OK
Woodbury,Minnesota,37.7,31982.0,35868.0,67850,MN
Torrance,California,41.2,73209.0,75259.0,148468,CA
New York,New York,36.0,4081698.0,4468707.0,8550405,NY
Saint Cloud,Minnesota,30.7,34311.0,33942.0,68253,MN
Camden,New Jersey,27.9,36437.0,39694.0,76131,NJ
Lakewood,California,39.9,41523.0,40069.0,81592,CA
Simi Valley,California,39.0,63243.0,63523.0,126766,CA
Reno,Nevada,35.7,122292.0,119151.0,241443,NV
Lorain,Ohio,35.6,30844.0,32807.0,63651,OH
Midland,Texas,32.1,66595.0,66355.0,132950,TX
Hawthorne,California,33.7,43682.0,44762.0,88444,CA
Delray Beach,Florida,47.9,32219.0,34042.0,66261,FL
Lee's Summit,Missouri,36.8,48353.0,46715.0,95068,MO
Brockton,Massachusetts,35.2,46273.0,49041.0,95314,MA
Weston,Florida,38.6,32956.0,36991.0,69947,FL
Troy,Michigan,43.3,42371.0,40905.0,83276,MI
Winston-Salem,North Carolina,34.7,112520.0,128712.0,241232,NC
Durham,North Carolina,33.2,121153.0,136445.0,257598,NC
Temple,Texas,33.6,33512.0,38785.0,72297,TX
Colorado Springs,Colorado,34.8,225544.0,231018.0,456562,CO
Austin,Texas,32.7,475718.0,456122.0,931840,TX
Concord,California,39.6,62310.0,66358.0,128668,CA
Fullerton,California,34.5,69549.0,71300.0,140849,CA
McKinney,Texas,35.6,77339.0,85548.0,162887,TX
Greensboro,North Carolina,35.5,132251.0,153093.0,285344,NC
Greensboro,North Carolina,35.5,132251.0,153093.0,285344,NC
Turlock,California,36.2,33190.0,39103.0,72293,CA
Merced,California,29.7,40048.0,42392.0,82440,CA
Elgin,Illinois,35.7,54852.0,56224.0,111076,IL
Rock Hill,South Carolina,34.5,33324.0,38243.0,71567,SC
Rochester,New York,31.4,100135.0,109673.0,209808,NY
Hollywood,Florida,41.4,75358.0,74363.0,149721,FL
Frisco,Texas,37.2,73989.0,80399.0,154388,TX
North Richland Hills,Texas,39.9,35257.0,33948.0,69205,TX
Grand Rapids,Michigan,32.1,95669.0,99430.0,195099,MI
Columbus,Ohio,32.5,413981.0,435086.0,849067,OH
McAllen,Texas,32.3,68332.0,71921.0,140253,TX
Carlsbad,California,42.1,55119.0,58347.0,113466,CA
Vallejo,California,37.8,58379.0,62890.0,121269,CA
Billings,Montana,36.3,52705.0,57565.0,110270,MT
Missouri City,Texas,37.2,34932.0,36846.0,71778,TX
Redwood City,California,37.1,42676.0,42624.0,85300,CA
Tustin,California,33.4,39511.0,41052.0,80563,CA
Chico,California,29.9,46168.0,44168.0,90336,CA
Alafaya,Florida,33.5,39504.0,45760.0,85264,FL
Everett,Washington,37.0,56212.0,51800.0,108012,WA
Kent,Washington,33.4,61825.0,65137.0,126962,WA
Citrus Heights,California,37.8,41982.0,45071.0,87053,CA
Waterloo,Iowa,37.2,34488.0,33969.0,68457,IA
Kirkland,Washington,40.8,42159.0,45108.0,87267,WA
Schenectady,New York,36.7,32398.0,32901.0,65299,NY
Saint Paul,Minnesota,31.5,149547.0,151293.0,300840,MN
Lincoln,Nebraska,32.3,138544.0,138802.0,277346,NE
Muncie,Indiana,27.4,32446.0,37255.0,69701,IN
High Point,North Carolina,35.5,51751.0,58077.0,109828,NC
Modesto,California,35.2,104852.0,106405.0,211257,CA
Philadelphia,Pennsylvania,34.1,741270.0,826172.0,1567442,PA
Hillsboro,Oregon,35.3,50926.0,51434.0,102360,OR
Fontana,California,29.5,100644.0,106828.0,207472,CA
Tampa,Florida,35.3,175517.0,193511.0,369028,FL
Tampa,Florida,35.3,175517.0,193511.0,369028,FL
Perris,California,26.9,41623.0,33336.0,74959,CA
Allen,Pennsylvania,33.5,60626.0,59581.0,120207,PA
Hampton,Virginia,35.5,66214.0,70240.0,136454,VA
Bolingbrook,Illinois,33.7,36295.0,35801.0,72096,IL
Worcester,Massachusetts,34.9,90951.0,93855.0,184806,MA
Fairfield,California,34.7,55550.0,57422.0,112972,CA
Inglewood,California,34.9,52995.0,58661.0,111656,CA
Conroe,Texas,31.5,34907.0,33685.0,68592,TX
New Haven,Connecticut,29.9,63765.0,66545.0,130310,CT
Macon,Georgia,36.0,71833.0,81626.0,153459,GA
Yuba City,California,34.5,33654.0,33290.0,66944,CA
Danbury,Connecticut,37.3,43435.0,41227.0,84662,CT
North Charleston,South Carolina,30.7,56549.0,55315.0,111864,SC
Suffolk,Virginia,38.2,43048.0,45113.0,88161,VA
Atlanta,Georgia,33.8,223960.0,239915.0,463875,GA
Mount Vernon,New York,38.5,31876.0,36745.0,68621,NY
Dallas,Texas,32.6,639019.0,661063.0,1300082,TX
Dallas,Texas,32.6,639019.0,661063.0,1300082,TX
Columbia,Maryland,37.9,52202.0,51265.0,103467,MD
Davie,Florida,40.8,48754.0,52140.0,100894,FL
Bismarck,North Dakota,38.0,34675.0,35565.0,70240,ND
Cleveland,Ohio,36.0,186436.0,201623.0,388059,OH
Austin,Texas,32.7,475718.0,456122.0,931840,TX
Houston,Texas,32.6,1149686.0,1148942.0,2298628,TX
Lake Forest,California,40.3,41515.0,40982.0,82497,CA
Stockton,California,32.5,150976.0,154674.0,305650,CA
Indianapolis,Indiana,34.1,410615.0,437808.0,848423,IN
Ontario,California,31.0,85059.0,86141.0,171200,CA
Antioch,California,34.0,54733.0,55809.0,110542,CA
Columbus,Georgia,33.7,98785.0,101794.0,200579,GA
New Orleans,Louisiana,35.9,185736.0,203881.0,389617,LA
Erie,Pennsylvania,35.3,48618.0,50852.0,99470,PA
Erie,Pennsylvania,35.3,48618.0,50852.0,99470,PA
Arlington,Texas,32.6,191060.0,197062.0,388122,TX
Eugene,Oregon,33.4,79071.0,84377.0,163448,OR
Mountain View,California,33.5,42493.0,37945.0,80438,CA
Gilbert,Arizona,33.2,116711.0,130812.0,247523,AZ
Atascocita,Texas,32.8,37424.0,40816.0,78240,TX
Riverview,Florida,32.2,44210.0,45536.0,89746,FL
Mesquite,Texas,34.6,69240.0,75884.0,145124,TX
Dothan,Alabama,38.9,32172.0,35364.0,67536,AL
Hammond,Indiana,36.0,38923.0,38687.0,77610,IN
New Rochelle,New York,40.6,38871.0,40967.0,79838,NY
Meridian,Idaho,38.0,43353.0,47400.0,90753,ID
Troy,Michigan,43.3,42371.0,40905.0,83276,MI
Portsmouth,Virginia,33.6,45900.0,50301.0,96201,VA
Pasadena,Texas,31.5,78827.0,74959.0,153786,TX
Greensboro,North Carolina,35.5,132251.0,153093.0,285344,NC
Spring Hill,Florida,45.1,48295.0,54902.0,103197,FL
Thornton,Colorado,33.1,65482.0,67977.0,133459,CO
Dearborn,Michigan,33.5,46482.0,48698.0,95180,MI
Amarillo,Texas,33.8,99391.0,100260.0,199651,TX
Springfield,Missouri,34.1,81057.0,85741.0,166798,MO
Chicago,Illinois,34.2,1320015.0,1400541.0,2720556,IL
Greenville,North Carolina,26.2,39897.0,50691.0,90588,NC
Rock Hill,South Carolina,34.5,33324.0,38243.0,71567,SC
Rock Hill,South Carolina,34.5,33324.0,38243.0,71567,SC
Kendall,Florida,40.2,36658.0,39808.0,76466,FL
Palatine,Illinois,38.0,36506.0,32763.0,69269,IL
Frisco,Texas,37.2,73989.0,80399.0,154388,TX
Chesapeake,Virginia,36.7,114964.0,120465.0,235429,VA
Stamford,Connecticut,35.4,64941.0,63936.0,128877,CT
Vallejo,California,37.8,58379.0,62890.0,121269,CA
Pasadena,California,37.6,67712.0,74534.0,142246,CA
Naperville,Illinois,38.5,71365.0,75794.0,147159,IL
Loveland,Colorado,37.6,37042.0,38146.0,75188,CO
Loveland,Colorado,37.6,37042.0,38146.0,75188,CO
Loveland,Colorado,37.6,37042.0,38146.0,75188,CO
Johnson City,Tennessee,38.2,31019.0,34350.0,65369,TN
Bellflower,California,33.4,38936.0,39498.0,78434,CA
Bellflower,California,33.4,38936.0,39498.0,78434,CA
Goodyear,Arizona,38.6,36711.0,42292.0,79003,AZ
Wyoming,Michigan,32.8,35967.0,39310.0,75277,MI
Provo,Utah,23.6,56231.0,59027.0,115258,UT
Kenner,Louisiana,36.9,33993.0,33113.0,67106,LA
Arlington,Virginia,34.4,113981.0,115183.0,229164,VA
Ann Arbor,Michigan,28.1,58789.0,58281.0,117070,MI
Portland,Maine,40.3,31480.0,35392.0,66872,ME
San Clemente,California,45.2,34076.0,31456.0,65532,CA
Downey,California,37.3,53006.0,61205.0,114211,CA
Sunrise Manor,Nevada,32.5,93505.0,99103.0,192608,NV
Sunrise Manor,Nevada,32.5,93505.0,99103.0,192608,NV
Newark,New Jersey,34.6,138040.0,143873.0,281913,NJ
Kent,Washington,33.4,61825.0,65137.0,126962,WA
New Bedford,Massachusetts,38.6,43793.0,51166.0,94959,MA
Bridgeport,Connecticut,34.1,71509.0,76110.0,147619,CT
Kissimmee,Florida,36.7,33283.0,35869.0,69152,FL
Akron,Ohio,38.1,96886.0,100667.0,197553,OH
Kirkland,Washington,40.8,42159.0,45108.0,87267,WA
Baldwin Park,California,35.8,38747.0,38309.0,77056,CA
West Covina,California,39.8,51629.0,56860.0,108489,CA
Oakland,California,35.7,203827.0,215451.0,419278,CA
Longmont,Colorado,36.8,43941.0,48280.0,92221,CO
Modesto,California,35.2,104852.0,106405.0,211257,CA
Baton Rouge,Louisiana,31.2,111492.0,117104.0,228596,LA
Cincinnati,Ohio,32.7,143654.0,154883.0,298537,OH
Cincinnati,Ohio,32.7,143654.0,154883.0,298537,OH
Pittsburgh,Pennsylvania,32.9,149690.0,154695.0,304385,PA
The Woodlands,Texas,38.8,56083.0,63061.0,119144,TX
Laredo,Texas,28.8,124305.0,131484.0,255789,TX
Memphis,Tennessee,34.1,312237.0,343523.0,655760,TN
Hampton,Virginia,35.5,66214.0,70240.0,136454,VA
Santa Maria,California,30.1,53320.0,51762.0,105082,CA
Tracy,California,35.5,43156.0,43937.0,87093,CA
Ogden,Utah,31.3,44323.0,41127.0,85450,UT
Shawnee,Kansas,40.1,32313.0,32745.0,65058,KS
Macon,Georgia,36.0,71833.0,81626.0,153459,GA
Macon,Georgia,36.0,71833.0,81626.0,153459,GA
Brooklyn Park,Minnesota,35.1,37845.0,41305.0,79150,MN
Albuquerque,New Mexico,36.0,273323.0,285808.0,559131,NM
Ponce,Puerto Rico,40.5,56968.0,64615.0,121583,PR
Santa Barbara,California,37.8,45068.0,46784.0,91852,CA
Highlands Ranch,Colorado,39.6,49186.0,53281.0,102467,CO
Miami Gardens,Florida,34.9,50719.0,62480.0,113199,FL
Kansas City,Missouri,35.9,228430.0,246931.0,475361,MO
Albany,New York,32.8,47627.0,50825.0,98452,NY
Hesperia,California,29.4,43588.0,49698.0,93286,CA
Davenport,Iowa,35.2,50123.0,52454.0,102577,IA
Saint Charles,Missouri,34.9,32054.0,36747.0,68801,MO
Bayamón,Puerto Rico,39.4,80128.0,90131.0,170259,PR
Arden-Arcade,California,41.5,47596.0,48680.0,96276,CA
Lehigh Acres,Florida,34.3,57856.0,61624.0,119480,FL
Largo,Florida,45.1,38166.0,42841.0,81007,FL
Phoenix,Arizona,33.8,786833.0,776168.0,1563001,AZ
Lake Forest,California,40.3,41515.0,40982.0,82497,CA
Manteca,California,35.3,37053.0,38397.0,75450,CA
San Antonio,Texas,33.1,721405.0,748419.0,1469824,TX
East Los Angeles,California,32.6,60460.0,59206.0,119666,CA
